Part #,Description,Product Group,Net Weight
114829,"CC BM-966 NATURAL LINEN, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114412,"CC BM-966 NATURAL LINEN, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115249,"CC BM-966 NATURAL LINEN, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114728,"CC BM-967 CLOUD WHITE, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114311,"CC BM-967 CLOUD WHITE, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115148,"CC BM-967 CLOUD WHITE, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114683,"CC BM-968 DUNE WHITE, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114266,"CC BM-968 DUNE WHITE, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115103,"CC BM-968 DUNE WHITE, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114553,"CC BM-971 OLYMPIC MOUNTAIN, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114136,"CC BM-971 OLYMPIC MOUNTAIN, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114973,"CC BM-971 OLYMPIC MOUNTAIN, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114828,"CC BM-972 ALASKAN SKIES, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114411,"CC BM-972 ALASKAN SKIES, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115248,"CC BM-972 ALASKAN SKIES, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114690,"CC BM-973 ICE FORMATIONS, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114273,"CC BM-973 ICE FORMATIONS, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115110,"CC BM-973 ICE FORMATIONS, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114770,"CC BM-976 COASTAL FOG, 20LB, TYPE I",BUDDY RHODES PRODUCTS,20
114353,"CC BM-976 COASTAL FOG, 5LB, TYPE I",BUDDY RHODES PRODUCTS,5
115190,"CC BM-976 COASTAL FOG, 80LB, TYPE I",BUDDY RHODES PRODUCTS,80
114835,"CC BM-977 BRANDON BEIGE, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114418,"CC BM-977 BRANDON BEIGE, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115255,"CC BM-977 BRANDON BEIGE, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114689,"CC BM-983 SMOKEY TAUPE, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114272,"CC BM-983 SMOKEY TAUPE, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115109,"CC BM-983 SMOKEY TAUPE, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114766,"CC BM-986 SMOKY ASH, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114349,"CC BM-986 SMOKY ASH, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115186,"CC BM-986 SMOKY ASH, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114824,"CC BM-992 TICONDEROGA TAUPE, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114407,"CC BM-992 TICONDEROGA TAUPE, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115244,"CC BM-992 TICONDEROGA TAUPE, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
102591,"CC BM-993 BEACHCOMBER, 20LB, TYPE 1",BUDDY RHODES PRODUCTS,20
102590,"CC BM-993 BEACHCOMBER, 5LB, TYPE 1",BUDDY RHODES PRODUCTS,5
102592,"CC BM-993 BEACHCOMBER, 80LB, TYPE 1",BUDDY RHODES PRODUCTS,80
114558,"CC BM-996 ASHEN TAN, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114141,"CC BM-996 ASHEN TAN, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114978,"CC BM-996 ASHEN TAN, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114827,"CC BM-998 CABOT TRAIL, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114410,"CC BM-998 CABOT TRAIL, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115247,"CC BM-998 CABOT TRAIL, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114826,"CC BM-AF-240 SATCHEL, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114409,"CC BM-AF-240 SATCHEL, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115246,"CC BM-AF-240 SATCHEL, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114834,"CC BM-AF-720 SPARROW, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114417,"CC BM-AF-720 SPARROW, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115254,"CC BM-AF-720 SPARROW, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114739,"CC BM-CSP-45 STREET CHIC, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114322,"CC BM-CSP-45 STREET CHIC, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115159,"CC BM-CSP-45 STREET CHIC, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114830,"CC BM-OC-63 WINTER SNOW, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114413,"CC BM-OC-63 WINTER SNOW, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115250,"CC BM-OC-63 WINTER SNOW, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114802,"CC BROOKS CHOCOLATE TRUFFLE, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114385,"CC BROOKS CHOCOLATE TRUFFLE, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115222,"CC BROOKS CHOCOLATE TRUFFLE, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114656,"CC BROOKS CUSTOM NAVAJO WHITE, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
115076,"CC BROOKS CUSTOM NAVAJO WHITE, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114657,"CC BROOKS CUSTOM WHITE DOWN, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114240,"CC BROOKS CUSTOM WHITE DOWN, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115077,"CC BROOKS CUSTOM WHITE DOWN, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114783,"CC CC-544 OVERCOAT, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114366,"CC CC-544 OVERCOAT, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115203,"CC CC-544 OVERCOAT, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114625,"CC CHALK, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114208,"CC CHALK, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115045,"CC CHALK, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114749,"CC CSP-20 WALL STREET, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114332,"CC CSP-20 WALL STREET, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115169,"CC CSP-20 WALL STREET, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114750,"CC CSP-220 LACE HANDKERCHIEF, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114333,"CC CSP-220 LACE HANDKERCHIEF, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115170,"CC CSP-220 LACE HANDKERCHIEF, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
102223,"CC CSP-25 WOOL PEACOAT, 20LB, TYPE I",BUDDY RHODES PRODUCTS,20
102222,"CC CSP-25 WOOL PEACOAT, 5LB, TYPE I",BUDDY RHODES PRODUCTS,5
102224,"CC CSP-25 WOOL PEACOAT, 80LB, TYPE I",BUDDY RHODES PRODUCTS,80
114792,"CC CSP-465 PURPLICIOUS, 20 LB, TYPE III",BUDDY RHODES PRODUCTS,20
114375,"CC CSP-465 PURPLICIOUS, 5 LB, TYPE III",BUDDY RHODES PRODUCTS,5
115212,"CC CSP-465 PURPLICIOUS, 80 LB, TYPE III",BUDDY RHODES PRODUCTS,80
114780,"CC CSP-65 OLD SOUL, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114363,"CC CSP-65 OLD SOUL, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115200,"CC CSP-65 OLD SOUL, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114752,"CC CURSING FOR JOHN BASS, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114335,"CC CURSING FOR JOHN BASS, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115172,"CC CURSING FOR JOHN BASS, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
115470,"CC CUSTOM BONE ERWIN HERCEG, 20 LB, TYPE 1",BUDDY RHODES PRODUCTS,20
114718,"CC CW-140 TIMSON SAND, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114301,"CC CW-140 TIMSON SAND, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115138,"CC CW-140 TIMSON SAND, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
115463,"CC CW-235 BRICKYARD CLAY, 20LB, TYPE I",BUDDY RHODES PRODUCTS,20
115462,"CC CW-235 BRICKYARD CLAY, 5LB, TYPE I",BUDDY RHODES PRODUCTS,5
115464,"CC CW-235 BRICKYARD CLAY, 80LB, TYPE I",BUDDY RHODES PRODUCTS,80
114767,"CC CW-250 CARRIAGE RED, 20 LB, TYPE III",BUDDY RHODES PRODUCTS,20
114350,"CC CW-250 CARRIAGE RED, 5 LB, TYPE III",BUDDY RHODES PRODUCTS,5
115187,"CC CW-250 CARRIAGE RED, 80 LB, TYPE III",BUDDY RHODES PRODUCTS,80
114531,"CC CW-320 DRAGON'S BLOOD, 20 LB, TYPE II",BUDDY RHODES PRODUCTS,20
114114,"CC CW-320 DRAGON'S BLOOD, 5 LB, TYPE II",BUDDY RHODES PRODUCTS,5
114951,"CC CW-320 DRAGON'S BLOOD, 80 LB, TYPE II",BUDDY RHODES PRODUCTS,80
114760,"CC CW-75 RANDOLPH STONE, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114343,"CC CW-75 RANDOLPH STONE, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115180,"CC CW-75 RANDOLPH STONE, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114668,"CC EARTHCAST-SET IN STONE 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114251,"CC EARTHCAST-SET IN STONE 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115088,"CC EARTHCAST-SET IN STONE 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114763,"CC ELEPHANTS BREATH - CUSTOM FOR J&M, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114346,"CC ELEPHANTS BREATH - CUSTOM FOR J&M, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115183,"CC ELEPHANTS BREATH - CUSTOM FOR J&M, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114440,"CC EXT RM SAIL CLOTH, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114023,"CC EXT RM SAIL CLOTH, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114860,"CC EXT RM SAIL CLOTH, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114560,"CC EXT-RM BRIARWOOD, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114143,"CC EXT-RM BRIARWOOD, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114980,"CC EXT-RM BRIARWOOD, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114442,"CC EXT-RM PLATINUM GRAY, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114025,"CC EXT-RM PLATINUM GRAY, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114862,"CC EXT-RM PLATINUM GRAY, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114738,"CC FLINT RIDGE GRAY, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114321,"CC FLINT RIDGE GRAY, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115158,"CC FLINT RIDGE GRAY, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114666,"CC FOSSIL-SET IN STONE, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114249,"CC FOSSIL-SET IN STONE, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115086,"CC FOSSIL-SET IN STONE, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114679,"CC HC-103 CROMWELL GRAY, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114262,"CC HC-103 CROMWELL GRAY, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115099,"CC HC-103 CROMWELL GRAY, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114502,"CC HC-108 SANDY HOOK GRAY, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114085,"CC HC-108 SANDY HOOK GRAY, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114922,"CC HC-108 SANDY HOOK GRAY, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114573,"CC HC-114 SAYBROOK SAGE, 20 LB, TYPE II",BUDDY RHODES PRODUCTS,20
114156,"CC HC-114 SAYBROOK SAGE, 5 LB, TYPE II",BUDDY RHODES PRODUCTS,5
114993,"CC HC-114 SAYBROOK SAGE, 80 LB, TYPE II",BUDDY RHODES PRODUCTS,80
114575,"CC HC-118 SHERWOOD GREEN, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114158,"CC HC-118 SHERWOOD GREEN, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114995,"CC HC-118 SHERWOOD GREEN, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114530,"CC HC-12 CONCORD IVORY, 20LB, TYPE I",BUDDY RHODES PRODUCTS,20
114113,"CC HC-12 CONCORD IVORY, 5LB, TYPE I",BUDDY RHODES PRODUCTS,5
114950,"CC HC-12 CONCORD IVORY, 80LB, TYPE I",BUDDY RHODES PRODUCTS,80
114576,"CC HC-122 GREAT BARRINGTON GREEN, 20 LB, TYPE II",BUDDY RHODES PRODUCTS,20
114159,"CC HC-122 GREAT BARRINGTON GREEN, 5 LB, TYPE II",BUDDY RHODES PRODUCTS,5
114996,"CC HC-122 GREAT BARRINGTON GREEN, 80 LB, TYPE II",BUDDY RHODES PRODUCTS,80
114461,"CC HC-134 TARRYTOWN GREEN, 20 LB, TYPE II",BUDDY RHODES PRODUCTS,20
114044,"CC HC-134 TARRYTOWN GREEN, 5 LB, TYPE II",BUDDY RHODES PRODUCTS,5
114881,"CC HC-134 TARRYTOWN GREEN, 80 LB, TYPE II",BUDDY RHODES PRODUCTS,80
114578,"CC HC-145 VAN COURTLAND BLUE, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114161,"CC HC-145 VAN COURTLAND BLUE, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114998,"CC HC-145 VAN COURTLAND BLUE, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114454,"CC HC-148 JAMESTOWN BLUE, 20 LB, TYPE III",BUDDY RHODES PRODUCTS,20
114037,"CC HC-148 JAMESTOWN BLUE, 5 LB, TYPE III",BUDDY RHODES PRODUCTS,5
114874,"CC HC-148 JAMESTOWN BLUE, 80 LB, TYPE III",BUDDY RHODES PRODUCTS,80
114579,"CC HC-151 BUCKLAND BLUE, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114162,"CC HC-151 BUCKLAND BLUE, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114999,"CC HC-151 BUCKLAND BLUE, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114580,"CC HC-152 WHIPPLE BLUE, 20 LB, TYPE II",BUDDY RHODES PRODUCTS,20
114163,"CC HC-152 WHIPPLE BLUE, 5 LB, TYPE II",BUDDY RHODES PRODUCTS,5
115000,"CC HC-152 WHIPPLE BLUE, 80 LB, TYPE II",BUDDY RHODES PRODUCTS,80
114777,"CC HC-154 HALE NAVY, 20 LB, TYPE II",BUDDY RHODES PRODUCTS,20
114360,"CC HC-154 HALE NAVY, 5 LB, TYPE II",BUDDY RHODES PRODUCTS,5
115197,"CC HC-154 HALE NAVY, 80 LB, TYPE II",BUDDY RHODES PRODUCTS,80
114459,"CC HC-155 NEWBURYPORT BLUE, 20 LB, TYPE II",BUDDY RHODES PRODUCTS,20
114042,"CC HC-155 NEWBURYPORT BLUE, 5 LB, TYPE II",BUDDY RHODES PRODUCTS,5
114879,"CC HC-155 NEWBURYPORT BLUE, 80 LB, TYPE II",BUDDY RHODES PRODUCTS,80
114732,"CC HC-157 NARRAGANSETT GREEN, 20 LB, TYPE II",BUDDY RHODES PRODUCTS,20
114315,"CC HC-157 NARRAGANSETT GREEN, 5 LB, TYPE II",BUDDY RHODES PRODUCTS,5
115152,"CC HC-157 NARRAGANSETT GREEN, 80 LB, TYPE II",BUDDY RHODES PRODUCTS,80
114701,"CC HC-158 NEWBURG GREEN, 20 LB, TYPE II",BUDDY RHODES PRODUCTS,20
114284,"CC HC-158 NEWBURG GREEN, 5 LB, TYPE II",BUDDY RHODES PRODUCTS,5
115121,"CC HC-158 NEWBURG GREEN, 80 LB, TYPE II",BUDDY RHODES PRODUCTS,80
109695,"CC HC-163 DUXBURY GRAY, 1 LB, TYPE I",BUDDY RHODES PRODUCTS,1
114441,"CC HC-164 PURITAN GRAY, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114024,"CC HC-164 PURITAN GRAY, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114861,"CC HC-164 PURITAN GRAY, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114518,"CC HC-171 WICKHAM GRAY, 20 LB, TYPE II",BUDDY RHODES PRODUCTS,20
114101,"CC HC-171 WICKHAM GRAY, 5 LB, TYPE II",BUDDY RHODES PRODUCTS,5
114938,"CC HC-171 WICKHAM GRAY, 80 LB, TYPE II",BUDDY RHODES PRODUCTS,80
114681,"CC HC-182 CLASSIC BURGUNDY, 20 LB, TYPE III",BUDDY RHODES PRODUCTS,20
114264,"CC HC-182 CLASSIC BURGUNDY, 5 LB, TYPE III",BUDDY RHODES PRODUCTS,5
115101,"CC HC-182 CLASSIC BURGUNDY, 80 LB, TYPE III",BUDDY RHODES PRODUCTS,80
114497,"CC HC-36 HEPPLEWHITE IVORY, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114080,"CC HC-36 HEPPLEWHITE IVORY, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114917,"CC HC-36 HEPPLEWHITE IVORY, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114694,"CC HC-37 MYSTIC GOLD, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114277,"CC HC-37 MYSTIC GOLD, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115114,"CC HC-37 MYSTIC GOLD, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114913,"CC HC-39 PUTNAM IVORY, 1LB, TYPE I",BUDDY RHODES PRODUCTS,80
114493,"CC HC-39 PUTNAM IVORY, 1LB, TYPE I",BUDDY RHODES PRODUCTS,20
114076,"CC HC-39 PUTNAM IVORY, 1LB, TYPE I",BUDDY RHODES PRODUCTS,5
114544,"CC HC-40 GREENFIELD PUMPKIN , 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114127,"CC HC-40 GREENFIELD PUMPKIN , 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114964,"CC HC-40 GREENFIELD PUMPKIN , 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114469,"CC HC-43 TYLER TAUPE, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114052,"CC HC-43 TYLER TAUPE, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114889,"CC HC-43 TYLER TAUPE, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114485,"CC HC-44 LENOX TAN, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114068,"CC HC-44 LENOX TAN, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114905,"CC HC-44 LENOX TAN, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114672,"CC HC-45 SHAKER BEIGE NO TITANIUM, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114255,"CC HC-45 SHAKER BEIGE NO TITANIUM, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115092,"CC HC-45 SHAKER BEIGE NO TITANIUM, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114564,"CC HC-48 BRADSTREET BEIGE, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114147,"CC HC-48 BRADSTREET BEIGE, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114984,"CC HC-48 BRADSTREET BEIGE, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114566,"CC HC-51 AUDUBON RUSSET, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114149,"CC HC-51 AUDUBON RUSSET, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114986,"CC HC-51 AUDUBON RUSSET, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114567,"CC HC-58 CHIPPENDALE ROSESTONE, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114150,"CC HC-58 CHIPPENDALE ROSESTONE, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114987,"CC HC-58 CHIPPENDALE ROSESTONE, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114568,"CC HC-59 ODESSA PINK, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114151,"CC HC-59 ODESSA PINK, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114988,"CC HC-59 ODESSA PINK, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
120473,"CC HC-68 DUDLEY BROWN, 20LB, TYPE I",BUDDY RHODES PRODUCTS,20
120472,"CC HC-68 DUDLEY BROWN, 5LB, TYPE I",BUDDY RHODES PRODUCTS,5
120474,"CC HC-68 DUDLEY BROWN, 80LB, TYPE I",BUDDY RHODES PRODUCTS,80
114798,"CC HC-68 MIDDLEBURY BROWN, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114381,"CC HC-68 MIDDLEBURY BROWN, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115218,"CC HC-68 MIDDLEBURY BROWN, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
115466,"CC HC-71 HASBROUCK BROWN, 20LB, TYPE II",BUDDY RHODES PRODUCTS,20
115465,"CC HC-71 HASBROUCK BROWN, 5LB, TYPE II",BUDDY RHODES PRODUCTS,5
115467,"CC HC-71 HASBROUCK BROWN, 80LB, TYPE II",BUDDY RHODES PRODUCTS,80
114489,"CC HC-76 DAVENPORT TAN, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114072,"CC HC-76 DAVENPORT TAN, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114909,"CC HC-76 DAVENPORT TAN, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114571,"CC HC-79 GREENBRIER BEIGE, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114154,"CC HC-79 GREENBRIER BEIGE, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114991,"CC HC-79 GREENBRIER BEIGE, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114455,"CC HC-80 BLEEKER BEIGE, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114038,"CC HC-80 BLEEKER BEIGE, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114875,"CC HC-80 BLEEKER BEIGE, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114500,"CC HC-81 MANCHESTER TAN, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114083,"CC HC-81 MANCHESTER TAN, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114920,"CC HC-81 MANCHESTER TAN, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114556,"CC HC-83 GRANT BEIGE, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114139,"CC HC-83 GRANT BEIGE, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114976,"CC HC-83 GRANT BEIGE, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114788,"CC HC-84 ELMIRA WHITE, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114371,"CC HC-84 ELMIRA WHITE, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115208,"CC HC-84 ELMIRA WHITE, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114572,"CC HC-85 FAIRVIEW TAUPE, 20 LB, TYPE II",BUDDY RHODES PRODUCTS,20
114155,"CC HC-85 FAIRVIEW TAUPE, 5 LB, TYPE II",BUDDY RHODES PRODUCTS,5
114992,"CC HC-85 FAIRVIEW TAUPE, 80 LB, TYPE II",BUDDY RHODES PRODUCTS,80
114431,"CC HC-86 KINGSPORT GRAY, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114014,"CC HC-86 KINGSPORT GRAY, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114851,"CC HC-86 KINGSPORT GRAY, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114705,"CC HC-9 CHESTERTOWN BUFF, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114288,"CC HC-9 CHESTERTOWN BUFF, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115125,"CC HC-9 CHESTERTOWN BUFF, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114522,"CC HC-94 OLD SALEM GRAY, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114105,"CC HC-94 OLD SALEM GRAY, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114942,"CC HC-94 OLD SALEM GRAY, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114524,"CC HC-95 SAG HARBOR GRAY, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114107,"CC HC-95 SAG HARBOR GRAY, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
114944,"CC HC-95 SAG HARBOR GRAY, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
114617,"CC HERITAGE RED, 20 LB, TYPE IV",BUDDY RHODES PRODUCTS,20
114200,"CC HERITAGE RED, 5 LB, TYPE IV",BUDDY RHODES PRODUCTS,5
115037,"CC HERITAGE RED, 80 LB, TYPE IV",BUDDY RHODES PRODUCTS,80
102229,"CC JM FRENCH GRAY, 20LB, TYPE I",BUDDY RHODES PRODUCTS,20
102228,"CC JM FRENCH GRAY, 5LB, TYPE I",BUDDY RHODES PRODUCTS,5
102230,"CC JM FRENCH GRAY, 80LB, TYPE I",BUDDY RHODES PRODUCTS,80
114677,"CC JM TAN-400, 20 LB, TYPE I",BUDDY RHODES PRODUCTS,20
114260,"CC JM TAN-400, 5 LB, TYPE I",BUDDY RHODES PRODUCTS,5
115097,"CC JM TAN-400, 80 LB, TYPE I",BUDDY RHODES PRODUCTS,80
